age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39,3,11,9,0,5,3,2,1,0.0,0.0,40,38,0
21,3,15,10,4,7,3,4,0,0.0,1.1424101311310766,24,38,0
22,3,11,9,4,7,1,4,1,9.552865680310473,0.0,60,38,1
38,3,6,5,3,3,1,4,1,0.0,0.0,54,25,0
21,3,15,10,4,0,3,4,0,0.0,0.0,40,38,0
63,3,11,9,2,2,0,4,1,0.0,0.0,40,38,0
34,1,9,13,2,3,0,4,1,8.04044688130311,0.0,50,38,1
42,4,11,9,2,3,0,4,1,8.552367266423891,0.0,50,38,1
33,3,11,9,2,5,0,4,1,0.0,0.0,40,38,0
30,3,9,13,4,3,1,4,0,0.0,0.0,50,38,0
39,3,15,10,0,11,1,4,1,0.0,0.0,40,38,0
26,3,12,14,4,3,1,4,0,0.0,0.0,40,38,0
33,3,11,9,4,6,3,4,0,0.0,0.0,40,38,0
47,1,11,9,0,0,1,4,0,0.0,0.0,40,38,0
41,3,9,13,4,7,1,4,0,0.0,0.0,40,38,0
41,4,7,12,2,2,0,4,1,9.617470759403409,0.0,60,38,1
19,3,15,10,4,7,3,4,1,0.0,0.0,20,38,0
46,3,11,9,5,13,1,4,1,0.0,0.0,40,38,0
43,3,11,9,2,11,0,4,1,0.0,0.0,48,38,0
55,3,15,10,2,3,0,4,1,9.617470759403409,0.0,45,38,1
46,3,8,11,2,12,0,4,1,0.0,0.0,40,38,0
30,3,11,9,2,6,0,4,1,0.0,0.0,40,25,0
21,3,15,10,5,5,1,4,0,0.0,0.0,40,38,0
46,3,15,10,2,2,0,3,1,0.0,0.0,40,5,0
17,7,0,6,4,14,3,4,1,0.0,0.0,40,38,0
41,3,11,9,2,6,0,4,1,0.0,0.0,50,38,0
69,4,11,9,2,11,0,4,1,0.0,0.0,30,38,0
50,3,11,9,2,13,0,4,1,0.0,0.0,40,38,0
20,3,15,10,4,0,1,4,0,0.0,0.0,40,38,0
45,4,15,10,2,6,0,4,1,0.0,0.0,50,38,0
23,3,9,13,4,3,1,4,1,0.0,0.0,40,38,0
24,3,15,10,5,7,1,4,1,0.0,1.1456421838464406,40,38,0
44,4,11,9,2,2,0,4,1,11.512925464970229,0.0,50,38,1
31,5,15,10,2,2,0,4,1,0.0,0.0,50,38,0
43,3,11,9,5,6,1,4,0,0.0,0.0,44,38,0
20,0,1,7,4,7,3,4,0,0.0,0.0,10,38,0
55,3,11,9,2,11,0,4,1,0.0,0.0,56,38,1
24,0,15,10,4,1,1,4,1,0.0,0.0,40,38,0
41,7,12,14,2,14,5,4,0,8.94754601503218,0.0,10,38,1
59,3,9,13,4,3,1,4,0,0.0,0.0,25,38,0
49,0,5,4,4,7,1,2,1,0.0,0.0,20,38,0
33,3,12,14,2,9,5,4,0,8.552367266423891,0.0,10,38,1
59,0,9,13,0,0,1,4,1,0.0,0.0,40,38,0
34,3,12,14,4,7,1,0,1,0.0,0.0,40,38,0
20,3,11,9,4,5,3,4,1,0.0,0.0,40,38,0
25,3,9,13,4,3,3,4,0,0.0,0.0,40,38,0
49,3,0,6,2,4,0,4,1,0.0,0.0,40,38,0
59,3,11,9,2,13,0,4,1,0.0,0.0,40,38,1
20,3,11,9,4,0,1,4,0,0.0,0.0,40,38,0
51,7,15,10,2,14,5,4,0,0.0,0.0,18,38,0
33,3,15,10,4,0,4,2,0,0.0,0.0,35,38,0
22,3,15,10,4,13,3,2,1,0.0,0.0,39,38,0
58,5,6,5,6,7,1,4,0,0.0,0.0,40,38,0
52,1,11,9,6,0,4,4,0,0.0,0.0,28,38,0
36,3,0,6,5,6,1,4,0,0.0,0.0,40,38,0
41,1,11,9,2,10,0,4,1,0.0,0.0,40,38,0
28,3,11,9,4,13,3,4,1,7.862497197230545,0.0,40,38,0
19,3,15,10,4,5,3,2,1,0.0,0.0,16,38,0
18,3,11,9,4,7,1,4,0,0.0,0.0,28,38,0
18,3,11,9,4,6,3,4,0,0.0,0.0,48,38,0
28,3,15,10,2,2,0,4,1,0.0,0.0,40,38,0
29,3,8,11,2,3,0,4,1,0.0,0.0,40,38,1
20,7,11,9,4,14,3,4,0,0.0,0.0,20,38,0
40,3,15,10,2,5,0,4,1,0.0,0.0,40,38,0
26,3,11,9,4,5,4,4,1,0.0,0.0,40,38,0
46,3,11,9,2,2,0,4,1,0.0,0.0,40,38,0
23,3,1,7,4,7,1,4,0,0.0,0.0,24,38,0
44,3,11,9,3,0,4,4,0,0.0,0.0,40,38,0
43,3,9,13,0,11,4,4,0,0.0,0.0,40,38,1
31,1,9,13,0,9,4,4,0,0.0,0.0,60,38,0
18,3,15,10,4,11,3,4,0,0.0,0.0,25,38,0
19,3,15,10,4,10,3,4,1,0.0,0.0,30,38,0
41,3,15,10,0,12,1,4,0,0.0,0.0,40,38,0
41,3,11,9,0,5,4,4,0,0.0,0.0,40,38,0
69,3,11,9,0,0,1,4,0,0.0,0.0,25,38,0
48,0,10,16,2,9,5,4,0,0.0,0.0,40,38,1
28,3,11,9,4,9,3,4,1,0.0,0.0,40,38,0
27,5,11,9,2,2,0,4,1,0.0,0.0,60,20,1
41,3,12,14,2,9,0,4,1,0.0,1.154866514002217,50,38,1
41,3,15,10,2,0,0,4,1,0.0,0.0,40,38,0
24,3,11,9,4,2,4,2,0,0.0,0.0,40,38,0
20,7,11,9,4,14,1,4,0,0.0,0.0,40,38,0
42,4,10,16,2,9,0,4,1,0.0,0.0,41,38,1
57,3,11,9,2,2,0,2,1,0.0,0.0,48,38,0
30,3,7,12,4,9,1,4,0,0.0,0.0,40,38,0
36,3,11,9,2,11,0,4,1,0.0,0.0,60,38,1
49,3,5,4,2,6,0,2,1,0.0,0.0,40,38,0
33,3,11,9,2,6,5,4,0,0.0,0.0,35,38,0
23,3,0,6,2,4,0,4,1,0.0,0.0,40,38,0
46,3,12,14,2,9,0,4,1,0.0,0.0,40,38,0
18,3,15,10,4,0,3,1,0,0.0,0.0,22,10,0
40,3,11,9,2,3,0,4,1,8.94754601503218,0.0,55,38,1
43,4,11,9,2,3,0,4,1,0.0,1.1458597492689129,45,38,1
34,3,12,14,4,9,3,4,0,0.0,0.0,30,38,0
47,5,11,9,6,3,1,4,0,0.0,0.0,30,38,0
44,3,8,11,6,3,4,4,0,0.0,0.0,30,38,0
33,3,11,9,2,11,0,4,1,0.0,0.0,40,38,1
55,3,9,13,2,3,0,4,1,9.617470759403409,0.0,50,38,1
19,3,11,9,4,11,1,4,1,7.97522083865341,0.0,30,38,0
28,3,15,10,4,7,1,2,1,0.0,0.0,14,38,0
27,3,1,7,2,7,5,2,0,0.0,0.0,32,38,0
50,3,5,4,2,6,0,4,1,0.0,0.0,20,38,0
22,3,1,7,4,2,4,4,1,0.0,0.0,40,38,0
40,6,9,13,2,0,0,4,1,0.0,1.1458597492689129,45,38,1
25,3,15,10,4,0,3,4,0,0.0,0.0,40,38,0
26,1,11,9,4,2,1,4,1,0.0,0.0,40,38,0
22,3,9,13,4,11,1,4,1,0.0,0.0,25,38,0
42,3,15,10,4,5,4,2,0,0.0,1.100870912496013,40,38,0
38,4,9,13,0,3,1,4,1,0.0,0.0,40,38,0
55,3,1,7,2,7,0,4,1,0.0,0.0,30,38,0
32,3,11,9,2,11,0,4,1,0.0,0.0,40,38,0
22,3,11,9,2,2,0,4,1,0.0,0.0,45,38,0
29,3,9,13,4,11,3,4,1,0.0,0.0,40,38,0
46,6,12,14,2,3,0,4,1,0.0,0.0,45,38,1
31,3,15,10,2,3,0,4,1,0.0,0.0,40,38,1
58,5,10,16,2,9,0,4,1,0.0,0.0,16,38,1
42,3,11,9,2,2,0,4,1,0.0,0.0,45,38,0
18,3,11,9,4,5,4,4,1,0.0,0.0,25,38,0
58,1,11,9,0,3,1,4,1,0.0,0.0,33,38,0
54,3,11,9,2,9,0,4,1,0.0,1.1458597492689129,40,38,1
34,3,12,14,4,9,1,4,1,0.0,0.0,40,38,0
26,3,9,13,4,0,1,4,0,0.0,0.0,40,38,0
61,3,2,8,2,3,0,4,1,0.0,0.0,60,38,0
48,1,12,14,5,0,4,2,0,0.0,0.0,40,38,0
36,3,15,10,2,3,0,4,1,0.0,0.0,45,38,1
24,3,8,11,2,6,0,4,1,0.0,0.0,45,38,0
40,3,15,10,2,6,0,4,1,0.0,0.0,37,38,0
33,4,11,9,2,11,0,4,1,0.0,0.0,50,38,1
37,3,15,10,2,6,0,4,1,0.0,1.1458597492689129,40,38,1
34,3,12,14,4,3,3,4,1,8.444837529224097,0.0,40,38,0
56,4,15,10,2,3,0,4,1,9.617470759403409,0.0,40,38,1
28,7,11,9,2,14,3,4,0,0.0,0.0,38,38,1
37,3,9,13,6,3,1,4,0,0.0,0.0,55,38,0
44,3,11,9,0,11,4,2,0,0.0,0.0,40,38,0
64,7,15,10,2,14,0,4,1,0.0,0.0,8,38,0
54,3,11,9,0,5,1,4,1,0.0,0.0,45,38,0
23,3,11,9,4,6,1,4,1,0.0,0.0,50,38,0
34,6,9,13,3,4,1,2,1,0.0,0.0,40,38,0
22,3,11,9,4,7,1,4,0,0.0,0.0,45,38,0
33,3,9,13,2,3,0,4,1,0.0,1.14758665350844,40,38,1
39,3,9,13,5,9,1,4,1,0.0,0.0,50,38,1
47,3,15,10,0,0,1,2,0,0.0,0.0,37,38,0
79,7,5,4,6,14,1,4,1,0.0,0.0,40,38,0
26,3,11,9,4,9,4,2,0,0.0,0.0,55,38,0
31,3,15,10,0,3,4,4,0,0.0,0.0,40,38,0
44,3,15,10,4,13,1,4,1,0.0,0.0,45,38,0
42,4,14,15,2,9,5,4,0,0.0,0.0,50,38,1
19,3,11,9,4,6,1,4,0,0.0,0.0,40,38,0
27,3,11,9,2,5,0,4,1,0.0,0.0,40,38,1
51,1,15,10,2,10,0,4,1,0.0,0.0,40,38,1
28,4,9,13,2,3,0,4,1,0.0,0.0,50,38,0
57,3,9,13,0,2,1,4,1,0.0,0.0,45,38,0
45,1,9,13,0,9,4,4,0,0.0,0.0,40,38,0
50,3,8,11,2,9,0,4,1,0.0,0.0,40,38,1
34,4,9,13,2,11,0,4,1,0.0,0.0,54,38,0
45,3,5,4,2,2,0,2,1,0.0,0.0,40,38,0
73,1,11,9,2,3,0,4,1,0.0,0.0,20,38,0
34,3,9,13,2,9,5,4,0,0.0,0.0,50,38,1
31,3,15,10,2,11,0,4,1,0.0,0.0,55,38,1
19,3,1,7,4,11,1,4,1,0.0,0.0,12,38,0
25,3,15,10,4,7,3,4,0,0.0,0.0,50,38,0
38,0,8,11,0,2,4,4,0,8.779249716229046,0.0,40,38,0
39,3,9,13,2,13,0,4,1,0.0,0.0,40,38,0
23,3,9,13,4,12,3,2,0,0.0,0.0,32,38,0
49,3,11,9,2,6,0,4,1,0.0,0.0,40,38,0
33,0,11,9,4,7,1,4,1,0.0,0.0,32,38,0
21,3,4,3,4,6,2,4,1,0.0,0.0,38,25,0
31,3,8,11,5,2,1,4,1,0.0,0.0,40,38,0
23,3,9,13,4,3,1,4,0,0.0,0.0,45,38,0
34,3,9,13,2,0,0,1,1,0.0,0.0,40,29,0
25,3,11,9,4,6,1,1,0,0.0,0.0,40,29,0
39,3,11,9,4,2,4,4,1,0.0,0.0,40,38,0
52,4,11,9,2,11,0,4,1,0.0,0.0,40,38,1
63,1,6,5,2,13,0,4,1,8.94754601503218,0.0,40,38,1
41,3,15,10,2,2,0,4,1,0.0,0.0,40,38,0
46,3,9,13,2,9,0,4,1,9.617470759403409,0.0,38,38,1
53,1,11,9,2,3,0,4,1,0.0,0.0,40,38,0
25,7,6,5,5,14,1,4,0,6.962243464266207,0.0,40,38,0
77,7,15,10,2,14,0,4,1,0.0,0.0,35,38,0
18,3,2,8,4,8,3,4,1,0.0,0.0,40,38,0
38,3,14,15,2,9,0,4,1,0.0,0.0,50,38,0
55,3,12,14,4,3,4,1,0,0.0,0.0,50,36,0
34,3,11,9,2,12,0,4,1,0.0,0.0,40,38,1
80,5,11,9,2,7,0,4,1,0.0,0.0,30,38,0
34,3,8,11,0,12,4,4,0,0.0,0.0,60,38,0
52,3,15,10,2,12,0,4,1,8.519989278718239,0.0,40,38,0
42,3,11,9,4,7,4,2,0,0.0,0.0,28,13,0
26,3,15,10,4,11,1,4,0,0.0,0.0,40,38,0
31,3,11,9,2,13,0,4,1,0.0,0.0,40,38,0
25,1,11,9,4,7,3,4,0,0.0,0.0,35,38,0
55,5,11,9,2,2,0,4,1,0.0,1.1490472573362838,60,38,0
19,3,15,10,4,7,3,4,0,0.0,0.0,12,38,0
62,5,15,10,2,13,0,4,1,0.0,0.0,32,38,0
22,0,15,10,4,0,3,4,0,0.0,0.0,20,38,0
39,7,11,9,2,14,5,4,0,0.0,0.0,50,38,0
35,3,11,9,2,5,0,4,1,0.0,0.0,40,38,0
28,3,11,9,2,11,3,4,0,0.0,0.0,40,38,0
47,3,11,9,2,13,0,4,1,0.0,0.0,70,38,1
44,6,11,9,2,6,0,4,1,0.0,0.0,40,38,0
21,3,15,10,4,11,3,4,1,0.0,0.0,15,38,0
35,3,8,11,4,2,1,4,1,0.0,0.0,50,38,0
24,3,9,13,2,9,0,4,1,0.0,0.0,40,38,1
42,0,9,13,4,9,1,4,1,0.0,0.0,40,38,0
28,3,9,13,4,12,3,4,1,0.0,0.0,50,38,0
21,3,15,10,4,6,2,4,1,0.0,0.0,35,38,0
62,0,15,10,0,12,1,2,1,8.444837529224097,0.0,40,38,0
39,3,11,9,4,7,1,2,0,0.0,0.0,40,38,0
30,6,11,9,4,7,1,4,1,0.0,0.0,40,38,0
72,5,14,15,4,9,1,4,1,0.0,1.1352918665933096,20,38,0
50,3,15,10,2,3,5,4,0,0.0,0.0,50,38,0
28,1,12,14,4,9,1,4,1,0.0,0.0,40,38,0
29,3,15,10,4,9,1,4,0,0.0,0.0,40,38,0
26,3,9,13,4,0,3,4,0,0.0,0.0,40,38,0
27,3,12,14,4,3,1,4,0,0.0,0.0,40,38,0
29,3,15,10,2,5,0,4,1,8.04044688130311,0.0,40,38,1
61,7,11,9,2,14,0,4,1,0.0,0.0,40,38,0
29,3,0,6,2,2,0,4,1,0.0,0.0,25,38,0
21,7,15,10,4,14,3,4,0,0.0,0.0,30,38,0
31,3,1,7,2,11,5,4,0,0.0,0.0,20,38,0
25,3,11,9,2,3,0,4,1,0.0,0.0,75,38,0
58,3,0,6,2,13,0,4,1,0.0,0.0,40,38,1
64,3,15,10,2,3,5,4,0,0.0,0.0,40,38,1
46,6,12,14,4,3,1,4,1,0.0,0.0,38,38,0
53,7,11,9,2,14,0,4,1,0.0,0.0,35,38,1
19,3,11,9,4,7,3,0,0,0.0,0.0,35,38,0
42,3,11,9,0,7,1,2,1,0.0,0.0,52,38,0
18,3,1,7,4,5,3,4,1,0.0,0.0,24,38,0
58,4,9,13,2,2,0,4,1,9.617470759403409,0.0,50,38,1
20,3,15,10,4,10,1,2,1,0.0,0.0,60,38,0
35,0,11,9,2,2,0,4,1,0.0,0.0,40,38,1
32,3,11,9,2,5,0,4,1,0.0,0.0,38,38,1
23,3,11,9,4,5,1,4,0,0.0,0.0,25,38,0
31,3,15,10,0,12,4,4,0,0.0,0.0,40,38,0
33,3,9,13,2,11,0,2,1,0.0,0.0,55,38,0
41,3,15,10,4,6,1,4,0,0.0,0.0,48,38,0
22,3,11,9,4,6,3,2,1,0.0,0.0,40,38,0
46,3,15,10,2,10,0,4,1,0.0,0.0,40,38,1
61,0,15,10,2,13,0,2,1,0.0,0.0,40,38,0
30,3,11,9,4,3,1,2,1,0.0,0.0,40,38,0
42,3,11,9,2,3,0,4,1,0.0,0.0,55,38,1
63,3,0,6,2,5,0,4,1,0.0,0.0,40,38,0
26,3,15,10,2,11,0,4,1,0.0,0.0,40,38,0
42,3,0,6,0,0,4,4,0,0.0,0.0,40,38,0
23,3,15,10,2,7,0,4,1,0.0,0.0,40,38,0
25,3,11,9,4,6,4,4,1,0.0,1.1394044915350803,40,38,0
30,3,6,5,2,7,0,4,1,0.0,0.0,32,7,1
23,3,11,9,4,11,3,4,1,0.0,0.0,40,38,0
34,5,8,11,4,4,1,4,1,10.233833921427351,0.0,60,38,1
30,3,11,9,2,6,2,4,1,0.0,1.1490472573362838,48,38,0
39,3,15,10,2,2,0,4,1,0.0,0.0,40,38,1
30,3,1,7,4,5,2,4,1,0.0,1.1424101311310766,38,32,0
38,1,15,10,0,0,4,4,0,0.0,0.0,38,38,0
26,3,11,9,0,3,3,4,0,0.0,0.0,40,38,0
20,3,15,10,4,5,3,4,1,0.0,0.0,16,38,0
37,1,9,13,4,9,4,2,1,0.0,0.0,40,38,0
33,3,11,9,2,0,3,4,0,0.0,0.0,40,38,0
24,3,9,13,4,0,3,4,1,0.0,0.0,40,38,0
42,4,9,13,2,3,0,4,1,0.0,0.0,60,38,1
51,5,11,9,2,11,0,1,1,8.04044688130311,0.0,84,39,0
56,1,7,12,2,12,0,4,1,0.0,0.0,45,38,1
22,3,15,10,4,5,3,4,1,0.0,0.0,40,38,0
52,5,15,10,2,4,0,4,1,0.0,0.0,60,38,0
44,3,9,13,0,3,4,4,0,8.504107951867582,0.0,45,38,1
34,3,11,9,2,0,5,4,0,8.310169021981912,0.0,35,38,0
51,3,15,10,0,2,1,4,1,0.0,0.0,42,38,1
20,7,15,10,4,14,1,4,1,0.0,0.0,40,38,0
19,3,15,10,4,11,1,4,0,0.0,0.0,25,38,0
37,3,9,13,2,3,0,4,1,0.0,0.0,40,38,1
68,3,11,9,2,6,0,2,1,0.0,0.0,40,38,1
22,3,15,10,0,10,1,4,1,0.0,0.0,40,38,0
56,4,9,13,2,3,0,4,1,0.0,0.0,40,38,0
37,3,11,9,2,2,0,4,1,0.0,0.0,40,38,0
52,3,3,2,2,6,0,4,1,0.0,0.0,40,25,0
26,3,11,9,5,5,3,4,1,0.0,0.0,40,32,0
33,3,12,14,2,9,0,4,1,0.0,0.0,50,38,0
45,1,12,14,0,9,4,4,0,0.0,0.0,42,38,0
18,3,1,7,4,7,3,4,1,0.0,0.0,15,38,0
43,5,15,10,2,4,0,4,1,0.0,0.0,60,38,1
64,5,10,16,2,9,0,4,1,9.617470759403409,0.0,50,38,1
18,3,11,9,4,5,3,4,1,0.0,0.0,20,38,0
20,7,15,10,4,14,3,4,1,0.0,0.0,45,38,0
57,3,11,9,2,2,0,4,1,0.0,0.0,40,38,1
41,3,11,9,0,0,4,4,0,8.209308411646937,0.0,42,38,0
34,3,12,14,2,3,0,4,1,0.0,1.1458597492689129,50,38,1
19,3,11,9,4,11,4,4,0,0.0,0.0,40,38,0
44,3,6,5,0,7,4,4,0,0.0,0.0,55,5,0
56,3,0,6,6,7,4,4,0,0.0,0.0,40,38,0
36,4,11,9,2,4,0,4,1,0.0,0.0,80,38,0
48,3,9,13,0,3,4,4,0,0.0,0.0,48,38,0
29,3,11,9,2,13,0,4,1,0.0,0.0,40,38,1
33,3,9,13,4,2,1,4,1,7.684783943522785,0.0,40,38,0
31,3,4,3,2,7,0,4,1,0.0,0.0,40,25,0
39,3,12,14,2,9,0,4,1,0.0,0.0,45,38,1
66,3,11,9,2,3,0,4,1,9.269175157697076,0.0,40,38,1
27,3,9,13,4,9,1,4,0,0.0,0.0,50,38,1
39,3,11,9,0,3,4,2,0,11.512925464970229,0.0,40,38,1
59,3,5,4,2,2,0,4,1,8.552367266423891,0.0,50,38,1
26,3,11,9,4,7,3,4,0,0.0,0.0,40,38,0
31,3,8,11,0,2,4,4,1,0.0,0.0,40,38,0
45,7,11,9,6,14,4,4,0,0.0,0.0,40,25,0
23,3,11,9,4,5,3,4,1,0.0,0.0,30,38,0
36,1,11,9,0,0,4,4,0,0.0,0.0,40,38,0
34,3,15,10,2,7,5,4,0,0.0,0.0,12,38,1
32,3,11,9,2,13,0,4,1,0.0,0.0,84,38,1
37,3,9,13,2,9,0,2,1,0.0,0.0,50,38,1
33,3,9,13,4,11,1,4,1,0.0,0.0,45,38,0
50,5,14,15,2,9,0,4,1,11.512925464970229,0.0,80,38,1
32,0,7,12,4,10,1,2,1,0.0,0.0,40,38,0
35,3,9,13,4,0,3,2,0,0.0,0.0,40,38,0
37,3,1,7,2,2,0,4,1,0.0,0.0,40,38,0
44,3,15,10,0,2,1,4,1,0.0,0.0,60,38,0
57,3,15,10,0,5,2,4,1,0.0,0.0,25,38,0
29,1,15,10,2,3,3,4,0,0.0,0.0,40,38,0
55,3,11,9,2,2,0,4,1,0.0,0.0,50,38,1
43,4,14,15,2,9,0,4,1,0.0,0.0,25,38,1
43,3,15,10,2,11,0,4,1,0.0,0.0,70,38,0
45,5,15,10,2,11,0,4,1,0.0,0.0,60,38,1
33,5,12,14,2,9,5,4,0,0.0,0.0,8,38,0
26,3,0,6,0,7,4,4,0,0.0,0.0,40,10,0
23,3,15,10,2,11,0,4,1,0.0,0.0,68,38,0
41,3,5,4,5,2,1,4,1,0.0,0.0,40,25,0
24,3,11,9,2,2,0,4,1,0.0,0.0,40,38,0
47,5,9,13,2,11,0,4,1,0.0,0.0,44,38,0
34,5,11,9,4,2,3,4,1,0.0,0.0,45,38,0
40,3,11,9,2,3,0,4,1,0.0,0.0,40,38,1
28,3,9,13,2,9,5,1,0,0.0,1.1367806684484028,40,38,0
24,3,11,9,4,3,3,1,0,0.0,0.0,40,34,0
73,7,15,10,2,14,0,4,1,0.0,0.0,10,38,0
23,3,11,9,4,2,2,4,1,0.0,0.0,15,38,0
43,5,11,9,2,3,0,2,1,0.0,0.0,40,38,1
26,3,9,13,0,12,1,4,0,0.0,0.0,40,38,0
58,5,10,16,1,3,5,4,0,0.0,1.1367806684484028,35,38,1
52,3,11,9,6,0,4,2,0,0.0,0.0,35,38,0
29,3,1,7,2,13,0,4,1,0.0,0.0,99,38,1
47,3,1,7,2,7,0,4,1,0.0,0.0,35,3,0
49,3,11,9,0,0,4,2,0,0.0,0.0,37,38,0
40,3,1,7,6,0,4,4,0,0.0,0.0,40,38,0
62,5,11,9,2,0,5,4,0,0.0,0.0,40,38,0
49,3,11,9,2,3,0,4,1,0.0,1.14758665350844,55,38,1
50,3,9,13,0,9,2,4,0,0.0,0.0,50,38,1
31,3,11,9,4,13,3,2,1,0.0,0.0,40,38,0
48,1,12,14,4,9,1,4,0,0.0,0.0,50,38,0
24,3,11,9,4,2,4,4,0,0.0,0.0,40,38,0
41,7,11,9,4,14,3,4,0,8.137103389639302,0.0,40,38,0
37,3,11,9,5,6,3,1,1,0.0,0.0,60,38,0
45,3,9,13,2,3,0,1,1,0.0,0.0,45,23,1
63,7,11,9,2,14,0,4,1,0.0,0.0,16,38,0
36,3,12,14,2,3,0,1,1,0.0,0.0,45,18,0
45,3,9,13,2,3,0,4,1,0.0,0.0,40,38,0
41,3,9,13,4,11,1,4,0,0.0,0.0,40,38,0
26,3,7,12,4,12,2,4,0,0.0,0.0,20,38,0
17,3,1,7,4,11,3,4,0,0.0,0.0,25,38,0
27,3,11,9,2,7,0,4,1,0.0,0.0,36,38,0
43,3,11,9,2,6,0,4,1,0.0,0.0,65,38,0
35,3,11,9,4,13,3,4,1,0.0,0.0,55,38,0
38,3,9,13,0,0,4,4,0,0.0,0.0,40,38,0
26,3,11,9,4,6,1,4,1,0.0,0.0,40,38,0
28,3,15,10,4,3,3,4,0,0.0,0.0,40,38,0
38,3,9,13,2,9,5,4,0,0.0,0.0,24,38,1
36,3,1,7,0,13,4,4,0,0.0,0.0,40,38,0
33,3,11,9,2,0,5,4,0,0.0,0.0,40,38,1
19,3,11,9,4,5,3,4,1,6.962243464266207,0.0,70,38,0
22,7,7,12,4,14,3,4,1,0.0,0.0,25,38,0
42,0,0,6,2,0,0,4,1,0.0,0.0,40,25,0
50,3,0,6,2,13,0,4,1,0.0,0.0,40,38,1
30,3,11,9,2,5,0,4,1,0.0,0.0,30,38,0
37,6,15,10,2,9,2,1,1,0.0,0.0,40,0,0
54,4,14,15,2,9,0,4,1,11.512925464970229,0.0,40,38,1
52,4,9,13,4,3,1,4,1,0.0,0.0,40,38,0
65,3,3,2,2,5,0,3,1,0.0,0.0,40,38,0
33,3,11,9,0,2,1,4,0,0.0,0.0,40,38,0
25,3,15,10,4,12,2,4,1,0.0,0.0,40,38,0
24,3,9,13,4,11,1,4,1,0.0,0.0,45,38,0
26,3,8,11,5,0,4,2,0,4.74493212836325,0.0,40,38,0
